,,,Combi,Globus,Lidl,METRO Deutschland,NORMA (norma24),Netto Marken-Discount,Wein Schäpers,Weinfreunde,WirWinzer
BiB,Peter Mertes,"Maybach Grauer Burgunder trocken 12,9 % vol 3 Liter Bag in Box",0,3.83,3.83,0,0,3.83,0,0,0
BiB,no brand (designation),"Liebfraumilch 3,0l Bag in Box",0,0,0,0,3.0,0,3.16,0,0
BiB,Peter Mertes,"Maybach Sauvignon Blanc feinherb 11,0 % vol 3 Liter Bag in Box",0,0,0,0,0,3.83,3.48,0,0
BiB,Peter Mertes,"Bree Chardonnay 12,0 % vol 3 Liter Bag in Box",0,0,0,0,0,4.16,3.64,0,0
BiB,Cerro de la Cruz,Cerro de La Cruz De La Cruz Weißwein trocken - 10 l Bag-in-Box,0,0,0,1.42,0,0,0,0,0
BiB,Cerro de la Cruz,Cerro de La Cruz Rotwein trocken - 10 l Bag-in-Box,0,0,0,1.42,0,0,0,0,0
BiB,not established,BIB Blanco Vino de la Tierra de Castilla,0,1.66,0,0,0,0,0,0,0
BiB,not established,BIB Tinto Vino de la Tierra de Castilla,0,1.66,0,0,0,0,0,0,0
BiB,Private label,"Vino Blanco Airén 3-l-Bag-in-Box halbtrocken, Weißwein 2025",0,0,1.66,0,0,0,0,0,0
BiB,Private label,"Vino Rosado Tempranillo 3-l-Bag-in-Box trocken, Roséwein 2025",0,0,1.66,0,0,0,0,0,0
BiB,Private label,"Vino Tinto Tempranillo Spanien 3,0-l-Bag-in-Box trocken, Rotwein 2025",0,0,1.66,0,0,0,0,0,0
BiB,not established,"Trevenezie Garganega Chardonnay 3L BIB, Weißwein",0,1.67,0,0,0,0,0,0,0
BiB,Einig-Zenzen,Terra Molino Airen & Sauvignon Blanc Vino Blanc Weißwein trocken,1.93,0,0,0,0,0,0,0,0
BiB,Private label,"Hauswein Rosé, halbtrocken, Bag-in-Box, 3,0l",0,0,0,0,0,0,2.37,0,0
BiB,Private label,"Hauswein Rot, halbtrocken, Bag-in-Box, 3,0l",0,0,0,0,0,0,2.37,0,0
BiB,Private label,"Hauswein Weiß, halbtrocken, Bag-in-Box, 3,0l",0,0,0,0,0,0,2.37,0,0
BiB,Artero,Batuta Macabeo & Sauvignon Blanc Bag-in-Box Weißwein trocken - 5 l Packung,0,0,0,2.4,0,0,0,0,0
BiB,not established,Adventure Tempranillo Bag in Box 3 l,0,0,0,0,3.0,0,0,0,0
BiB,Zimmermann-Graeff & Müller,Altobello Bianco IGP Veneto Bag in Box 3 l,0,0,0,0,3.0,0,0,0,0
BiB,Adega Cooperativa de Carvoeira,"Biqueirão Branco Bag-in-Box - 5,0 L",0,0,0,0,0,0,0,3.16,0
BiB,Adega Cooperativa de Carvoeira,"Biqueirão tinto Bag-in-Box - 5,0 L",0,0,0,0,0,0,0,3.3,0
BiB,not established,Weiß & Süß BIB Weißwein süß,3.46,0,0,0,0,0,0,0,0
BiB,San Marzano,"Miluna Primitivo Salento Bag-in-Box - 5,0 L",0,0,0,0,0,0,0,3.5,0
BiB,not established,Chenin Blanc Wine Box Weißwein trocken,3.86,0,0,0,0,0,0,0,0
BiB,Winzergenossenschaft Herxheim am Berg,"2023 Bag-in-Box Rotweincuvée 3,0 L",0,0,0,0,0,0,0,0,4.13
BiB,Winzergenossenschaft Herxheim am Berg,"2024 Bag-in-Box Roséwein 3,0 L",0,0,0,0,0,0,0,0,4.13
BiB,Winzergenossenschaft Herxheim am Berg,"2025 Bag-in-Box Riesling 3,0 L",0,0,0,0,0,0,0,0,4.13
