observed_at,retailer,external_id,name,price,currency,list_price,on_promotion,offer_type,in_stock
2026-08-11T09:35:36.558502+00:00,auchan,216773,"Vin alb sec Crama Girboiu Tectonic Rezerva, Sauvignon Blanc, Sarba si Plavaie, 0.75 l",49.99,RON,,0,catalogue,1
2026-08-11T09:35:36.559462+00:00,auchan,694686,"Vin alb demisec Suvorov Glamour, Sauvignon Blanc, 0.75 l",38.49,RON,,0,catalogue,1
2026-08-11T09:35:36.559588+00:00,auchan,694685,"Vin alb demidulce Suvorov Letto Muscat, 1 l",27.99,RON,,0,catalogue,1
2026-08-11T09:35:36.559670+00:00,auchan,694591,"Vin alb sec Simbol Tamaioasa Domeniile Bohotin, alcool 12.5%, 0.75 l",36.99,RON,,0,catalogue,1
2026-08-11T09:35:36.561674+00:00,auchan,692410,"Vin alb sec Purcari Chardonnay, 0.75 l",34.99,RON,,0,catalogue,1
2026-08-11T09:35:36.561768+00:00,auchan,691880,"Vin alb sec Domeniul Coroanei Segarcea Elite, Chardonnay 0.75 l",39.99,RON,,0,catalogue,1
2026-08-11T09:35:36.562001+00:00,auchan,542709,"Vin alb demisec Castel Huniade, Feteasca Regala, 0.75 l",19.39,RON,25.89,1,catalogue,1
2026-08-11T09:35:36.562203+00:00,auchan,542685,"Vin alb demisec Schwaben Wein, Feteasca Regala 0.75 l",19.89,RON,,0,catalogue,1
2026-08-11T09:35:36.562407+00:00,auchan,455614,"Vin alb demisec Jidvei Grigorescu, Gewurztraminer, 0.75 l",26.98,RON,,0,catalogue,1
2026-08-11T09:35:36.562708+00:00,auchan,226372,"Vin alb sec Cotnari Concept, Francusa, 0.75 l",23.79,RON,33.99,1,catalogue,1
2026-08-11T09:35:36.562801+00:00,auchan,753725,"Vin alb sec Murfatlar Aerosoli, Feteasca Regala, 0.75 l",41.49,RON,,0,catalogue,1
2026-08-11T09:35:36.562879+00:00,auchan,693112,"Vin alb sec Domeniile Davidescu Chardonnay, 0.75 l",39.99,RON,,0,catalogue,1
2026-08-11T09:35:36.562952+00:00,auchan,692409,"Vin alb sec de Purcari, Sauvignon Blanc 0.75 l",40.39,RON,,0,catalogue,1
2026-08-11T09:35:36.563146+00:00,auchan,691889,"Vin alb sec Domeniul Coroanei Segarcea Elite, Sauvignon Blanc 0.75 l",39.99,RON,,0,catalogue,1
2026-08-11T09:35:36.563378+00:00,auchan,640193,"Vin alb sec Domeniile Davidescu, Viorica si Pinot Grigio, 0.75 l",39.99,RON,,0,catalogue,1
2026-08-11T09:35:36.563630+00:00,auchan,574007,"Vin alb sec Domeniile Samburesti Chardonnay, 0.75 l",26.99,RON,38.69,1,catalogue,1
2026-08-11T09:35:36.563709+00:00,auchan,542715,"Vin alb demidulce Castel Huniade, Muscat Ottonel, alcool 12%, 0.75 l",19.39,RON,25.89,1,catalogue,1
2026-08-11T09:35:36.563947+00:00,auchan,542684,"Vin alb sec Schwaben Wein, Riesling Italian 0.75 l",19.89,RON,,0,catalogue,1
2026-08-11T09:35:36.564194+00:00,auchan,532987,"Vin alb dulce Cotnari Tamaioasa Romaneasca, DOC - CMD, 0.75 l",19.99,RON,,0,catalogue,1
2026-08-11T09:35:36.564310+00:00,auchan,532982,"Vin alb demidulce Cotnari, Eticheta Galbena 1.5 l",21.39,RON,,0,catalogue,1
2026-08-11T09:35:36.564515+00:00,auchan,532980,Vin alb dulce Grasa de Cotnari 0.75 l,27.39,RON,,0,catalogue,1
2026-08-11T09:35:36.564724+00:00,auchan,532978,"Vin alb demidulce Grasa de Cotnari, 0.75 l",17.99,RON,,0,catalogue,1
2026-08-11T09:35:36.564901+00:00,auchan,532972,Vin alb demisec Grasa de Cotnari 0.75 l,17.99,RON,,0,catalogue,1
